lead_id,created_date,region,channel,campaign_id,lead_status,mql_date,sql_date,converted_account_id
LEAD-100001,2024-06-28,NA,Webinar,CMP-1007,MQL,2024-07-11,,ACC-0108
LEAD-100002,2024-10-06,NA,Partners,CMP-1027,MQL,2024-10-23,,
LEAD-100003,2024-10-29,NA,LinkedIn,CMP-1024,Lead,,,
LEAD-100004,2024-04-27,EMEA,LinkedIn,CMP-1015,Lead,,,
LEAD-100005,2024-05-24,APAC,Webinar,CMP-1025,Lead,,,
LEAD-100006,2025-11-23,NA,LinkedIn,CMP-1024,Lead,,,
LEAD-100007,2025-02-10,APAC,Webinar,CMP-1028,Lead,,,
LEAD-100008,2025-01-09,NA,Webinar,CMP-1003,Lead,,,
LEAD-100009,2024-01-15,NA,Display,CMP-1009,Lead,,,
LEAD-100010,2025-04-10,EMEA,Partners,CMP-1012,Lead,,,
LEAD-100011,2025-11-19,NA,Display,CMP-1009,Lead,,,
LEAD-100012,2025-10-15,EMEA,Partners,CMP-1012,SQL,2025-10-17,2025-11-29,ACC-0042
LEAD-100013,2025-09-16,EMEA,LinkedIn,CMP-1008,Lead,,,
LEAD-100014,2025-10-12,NA,Partners,CMP-1027,Lead,,,
LEAD-100015,2025-12-18,APAC,LinkedIn,CMP-1010,Lead,,,
LEAD-100016,2024-04-29,APAC,Partners,CMP-1005,SQL,2024-05-16,2024-05-16,ACC-0173
LEAD-100017,2025-07-04,APAC,Partners,CMP-1005,Lead,,,
LEAD-100018,2025-01-14,APAC,Webinar,CMP-1022,Lead,,,
LEAD-100019,2025-12-14,NA,LinkedIn,CMP-1018,Lead,,,
LEAD-100020,2024-06-07,APAC,Paid Search,CMP-1029,Lead,,,
LEAD-100021,2024-04-11,NA,Partners,CMP-1027,Lead,,,
LEAD-100022,2025-02-21,NA,Display,CMP-1009,SQL,2025-03-09,2025-03-31,
LEAD-100023,2025-01-06,NA,Display,CMP-1004,Lead,,,
LEAD-100024,2025-01-11,NA,LinkedIn,CMP-1018,Lead,,,
LEAD-100025,2025-10-22,EMEA,Partners,CMP-1012,SQL,2025-10-27,2025-11-30,ACC-0030
LEAD-100026,2024-08-05,EMEA,Partners,CMP-1021,Lead,,,
LEAD-100027,2024-01-22,NA,Webinar,CMP-1002,Lead,,,
LEAD-100028,2024-09-06,APAC,Partners,CMP-1005,Lead,,,
LEAD-100029,2024-07-29,NA,Webinar,CMP-1003,Lead,,,
LEAD-100030,2025-07-21,NA,Webinar,CMP-1007,Lead,,,
LEAD-100031,2024-08-26,EMEA,Webinar,CMP-1011,Lead,,,
LEAD-100032,2025-09-02,APAC,LinkedIn,CMP-1001,MQL,2025-09-08,,ACC-0024
LEAD-100033,2024-06-27,NA,Display,CMP-1004,Lead,,,
LEAD-100034,2024-01-27,APAC,Partners,CMP-1005,MQL,2024-02-05,,ACC-0174
LEAD-100035,2024-01-17,APAC,LinkedIn,CMP-1006,SQL,2024-02-01,2024-02-29,ACC-0100
LEAD-100036,2024-03-06,EMEA,Paid Search,CMP-1016,Lead,,,
LEAD-100037,2025-01-05,NA,LinkedIn,CMP-1017,Lead,,,
LEAD-100038,2025-04-07,NA,LinkedIn,CMP-1017,MQL,2025-04-25,,ACC-0218
LEAD-100039,2025-10-20,APAC,LinkedIn,CMP-1001,MQL,2025-11-03,,ACC-0139
LEAD-100040,2024-04-20,EMEA,Paid Search,CMP-1016,Lead,,,
LEAD-100041,2025-03-30,NA,Webinar,CMP-1003,Lead,,,
LEAD-100042,2024-11-25,EMEA,Webinar,CMP-1020,SQL,2024-12-16,2025-01-09,
LEAD-100043,2025-01-25,EMEA,Webinar,CMP-1020,Lead,,,
LEAD-100044,2025-04-09,NA,LinkedIn,CMP-1017,Lead,,,
LEAD-100045,2024-04-11,APAC,Paid Search,CMP-1026,Lead,,,
LEAD-100046,2025-11-01,EMEA,Partners,CMP-1021,Lead,,,
LEAD-100047,2025-07-18,NA,LinkedIn,CMP-1024,Lead,,,
LEAD-100048,2025-03-16,EMEA,LinkedIn,CMP-1015,Lead,,,
LEAD-100049,2025-02-27,EMEA,Webinar,CMP-1011,Lead,,,
LEAD-100050,2025-02-12,NA,Paid Search,CMP-1014,Lead,,,
