shipment_id,ship_date,region,account_id,doctor_id,product_line,cases_shipped
SHP-300001,2024-02-11,NA,ACC-0155,DR-9449,Imaging,1
SHP-300002,2024-10-23,EMEA,ACC-0236,DR-9702,Clear Aligners,2
SHP-300003,2024-11-15,APAC,ACC-0086,DR-9899,Clear Aligners,4
SHP-300004,2025-02-09,NA,ACC-0015,DR-9317,Clear Aligners,8
SHP-300005,2025-04-27,NA,ACC-0092,DR-9508,Clear Aligners,5
SHP-300006,2024-01-07,EMEA,ACC-0120,DR-9226,Clear Aligners,7
SHP-300007,2025-01-29,NA,ACC-0186,DR-9780,Clear Aligners,6
SHP-300008,2025-02-15,APAC,ACC-0232,DR-9688,Clear Aligners,8
SHP-300009,2025-01-21,APAC,ACC-0195,DR-9142,Imaging,1
SHP-300010,2025-07-16,NA,ACC-0155,DR-9123,Scanner,1
SHP-300011,2025-12-04,NA,ACC-0078,DR-9130,Clear Aligners,2
SHP-300012,2025-08-17,NA,ACC-0109,DR-9217,Scanner,2
SHP-300013,2025-07-04,NA,ACC-0005,DR-9568,Clear Aligners,5
SHP-300014,2025-03-26,APAC,ACC-0175,DR-9267,Clear Aligners,4
SHP-300015,2025-09-05,APAC,ACC-0008,DR-9870,Clear Aligners,1
SHP-300016,2024-11-02,APAC,ACC-0183,DR-9368,Clear Aligners,7
SHP-300017,2025-08-06,APAC,ACC-0243,DR-9778,Clear Aligners,1
SHP-300018,2025-02-15,APAC,ACC-0102,DR-9989,Clear Aligners,7
SHP-300019,2024-02-03,APAC,ACC-0070,DR-9556,Scanner,2
SHP-300020,2024-08-25,NA,ACC-0061,DR-9207,Clear Aligners,5
SHP-300021,2025-10-31,NA,ACC-0189,DR-9210,Imaging,2
SHP-300022,2025-06-17,NA,ACC-0191,DR-9283,Scanner,1
SHP-300023,2024-04-25,APAC,ACC-0141,DR-9673,Imaging,2
SHP-300024,2025-03-19,NA,ACC-0009,DR-9157,Clear Aligners,5
SHP-300025,2024-07-04,NA,ACC-0226,DR-9893,Clear Aligners,7
SHP-300026,2024-08-28,APAC,ACC-0141,DR-9698,Clear Aligners,2
SHP-300027,2025-04-30,NA,ACC-0217,DR-9019,Scanner,2
SHP-300028,2025-07-26,APAC,ACC-0020,DR-9960,Clear Aligners,4
SHP-300029,2025-01-20,EMEA,ACC-0235,DR-9972,Clear Aligners,2
SHP-300030,2024-03-26,EMEA,ACC-0088,DR-9744,Clear Aligners,6
SHP-300031,2025-08-16,APAC,ACC-0001,DR-9370,Clear Aligners,6
SHP-300032,2025-08-09,EMEA,ACC-0164,DR-9170,Imaging,1
SHP-300033,2025-09-29,NA,ACC-0191,DR-9587,Clear Aligners,4
SHP-300034,2024-04-16,EMEA,ACC-0088,DR-9873,Clear Aligners,7
SHP-300035,2024-07-17,NA,ACC-0049,DR-9403,Imaging,2
SHP-300036,2025-08-13,EMEA,ACC-0107,DR-9500,Clear Aligners,7
SHP-300037,2025-04-17,EMEA,ACC-0031,DR-9504,Clear Aligners,8
SHP-300038,2025-05-14,APAC,ACC-0170,DR-9214,Clear Aligners,6
SHP-300039,2025-07-26,APAC,ACC-0087,DR-9213,Clear Aligners,5
SHP-300040,2024-04-01,APAC,ACC-0087,DR-9609,Clear Aligners,2
SHP-300041,2025-08-21,APAC,ACC-0074,DR-9793,Clear Aligners,1
SHP-300042,2025-07-14,APAC,ACC-0150,DR-9818,Clear Aligners,5
SHP-300043,2024-07-02,EMEA,ACC-0188,DR-9503,Clear Aligners,3
SHP-300044,2024-07-15,APAC,ACC-0025,DR-9621,Clear Aligners,1
SHP-300045,2025-11-26,APAC,ACC-0102,DR-9869,Scanner,2
SHP-300046,2024-04-27,APAC,ACC-0034,DR-9028,Clear Aligners,1
SHP-300047,2024-04-06,APAC,ACC-0221,DR-9229,Clear Aligners,2
SHP-300048,2024-12-08,APAC,ACC-0020,DR-9990,Clear Aligners,1
SHP-300049,2024-11-11,EMEA,ACC-0180,DR-9767,Clear Aligners,4
SHP-300050,2025-02-26,EMEA,ACC-0058,DR-9511,Imaging,1
SHP-300051,2024-03-17,APAC,ACC-0050,DR-9599,Clear Aligners,1
SHP-300052,2024-03-30,APAC,ACC-0182,DR-9743,Clear Aligners,7
SHP-300053,2024-04-09,EMEA,ACC-0038,DR-9393,Scanner,2
SHP-300054,2025-04-16,APAC,ACC-0072,DR-9018,Clear Aligners,5
SHP-300055,2025-10-05,EMEA,ACC-0146,DR-9674,Imaging,1
SHP-300056,2024-12-16,APAC,ACC-0001,DR-9492,Imaging,1
SHP-300057,2025-06-27,NA,ACC-0089,DR-9027,Clear Aligners,7
SHP-300058,2025-04-10,APAC,ACC-0170,DR-9586,Clear Aligners,7
SHP-300059,2025-04-17,NA,ACC-0203,DR-9396,Clear Aligners,8
SHP-300060,2024-07-04,APAC,ACC-0050,DR-9598,Imaging,2
SHP-300061,2024-05-01,NA,ACC-0049,DR-9185,Clear Aligners,4
SHP-300062,2025-04-14,EMEA,ACC-0018,DR-9312,Clear Aligners,4
SHP-300063,2025-11-21,NA,ACC-0052,DR-9372,Clear Aligners,7
SHP-300064,2025-08-04,EMEA,ACC-0067,DR-9162,Clear Aligners,5
SHP-300065,2025-01-06,APAC,ACC-0197,DR-9480,Clear Aligners,2
SHP-300066,2025-11-11,NA,ACC-0103,DR-9661,Scanner,2
SHP-300067,2025-01-05,APAC,ACC-0141,DR-9454,Imaging,1
SHP-300068,2024-06-09,NA,ACC-0200,DR-9500,Scanner,2
SHP-300069,2024-01-08,NA,ACC-0168,DR-9697,Clear Aligners,6
